Climate,Vegetation,Density,Total
Csb,"tropical semi-evergreen broadleaf forest",174,6858
Cwa,"tropical grassland",47,125376
Csb,"cool mixed forest",309,1295
Af,"cold deciduous forest",-1,0
Cfb,"erect dwarf-shrub tundra",0,8
Cfa,"cold evergreen needleleaf forest",478,6
BSk,"cold evergreen needleleaf forest",8,68036
Dfc,"cool mixed forest",3,973671
Dfb,"temperate sclerophyll woodland and shrubland",0,2121
Dsd,"cool evergreen needleleaf forest",-1,0
Aw,"temperate deciduous broadleaf forest",-1,0
Cwb,"cold deciduous forest",-1,0
Cwa,"warm-temperate evergreen broadleaf and mixed forest",85,2241714
Csc,"desert",-1,0
Dwb,"temperate deciduous broadleaf forest",19,545236
Af,"warm-temperate evergreen broadleaf and mixed forest",26,1155892
Dwb,"warm-temperate evergreen broadleaf and mixed forest",8,31380
Dsd,"desert",-1,0
Dfc,"temperate deciduous broadleaf forest",4,13642
Dsa,"wet sclerophyll forest",-1,0
Dfb,"wet sclerophyll forest",0,1757
Dsc,"cool evergreen needleleaf forest",4,63250
Csb,"tropical grassland",27,213297
Dfa,"wet sclerophyll forest",-1,0
Dwc,"graminoid and forb tundra",1,206486
Cfa,"temperate sclerophyll woodland and shrubland",39,331520
Csa,"cool evergreen needleleaf forest",31,656
Am,"low and high shrub tundra",-1,0
Dfb,"graminoid and forb tundra",-1,9
Cfb,"cold evergreen needleleaf forest",53,6081
Cfc,"cold evergreen needleleaf forest",20,504
Dwc,"tropical xerophytic shrubland",-1,122
Aw,None,23,361183
Dwb,"tropical deciduous broadleaf forest and woodland",-1,0
Csa,"desert",55,8497
ET,"cold deciduous forest",0,620742
None,"tropical grassland",54,15045
Cwb,"cool evergreen needleleaf forest",-1,0
Cfc,"temperate sclerophyll woodland and shrubland",0,3527
Dwc,"temperate deciduous broadleaf savanna",-1,0
Cfa,"erect dwarf-shrub tundra",-1,0
Csa,"tropical deciduous broadleaf forest and woodland",146,58
Cfa,"tropical xerophytic shrubland",33,209596
Csa,"tropical savanna",85,884
Dwc,"tropical evergreen broadleaf forest",-1,0
Dsa,"low and high shrub tundra",-1,0
Cfa,"tropical semi-evergreen broadleaf forest",45,30232
Cwa,"cool mixed forest",540,47
Csc,"tropical xerophytic shrubland",7,13
Am,"cold evergreen needleleaf forest",-1,0
Aw,"temperate deciduous broadleaf savanna",-1,0
Dwa,"low and high shrub tundra",-1,0
Dfc,"warm-temperate evergreen broadleaf and mixed forest",1,1092
Dfd,"prostrate dwarf-shrub tundra",-1,0
Cfb,"tropical deciduous broadleaf forest and woodland",8,112470
Cfa,"cool mixed forest",179,1222
Aw,"low and high shrub tundra",-1,0
Dwa,"cold deciduous forest",-1,0
Dfd,"tropical savanna",-1,0
Csa,"tropical evergreen broadleaf forest",-1,0
BWk,"cool mixed forest",1,33316
Dfa,"cold deciduous forest",-1,0
Cfc,"desert",-1,0
Dfa,"cool evergreen needleleaf forest",18,3
Dfb,None,15,857127
Dwd,"temperate sclerophyll woodland and shrubland",-1,0
Dwb,"cool evergreen needleleaf forest",-1,2
Dfd,"graminoid and forb tundra",-1,27
Dsb,"cool evergreen needleleaf forest",6,142772
Dwa,"tropical xerophytic shrubland",-1,0
Cfc,"prostrate dwarf-shrub tundra",-1,0
Cfb,None,61,80298
EF,"cool mixed forest",0,42
Dsb,"tropical xerophytic shrubland",3,19247
BWk,"tropical grassland",5,4293023
Dfc,"low and high shrub tundra",0,4679994
EF,"wet sclerophyll forest",-1,2
Dsc,"temperate sclerophyll woodland and shrubland",-1,1
Dfa,"tropical semi-evergreen broadleaf forest",-1,0
Dfd,"tropical evergreen broadleaf forest",-1,0
EF,"tropical savanna",-1,0
Csa,"temperate deciduous broadleaf forest",80,196449
Csa,"tropical xerophytic shrubland",90,340750
Cwa,"tropical xerophytic shrubland",33,965164
Cwb,"tropical deciduous broadleaf forest and woodland",17,1168
Dfa,"tropical evergreen broadleaf forest",-1,0
Dsa,"temperate evergreen needleleaf open woodland",29,17371
EF,"temperate sclerophyll woodland and shrubland",-1,0
BSk,"erect dwarf-shrub tundra",0,15312
Dfc,"prostrate dwarf-shrub tundra",-1,1
BWk,"erect dwarf-shrub tundra",-1,168
Dsa,"tropical semi-evergreen broadleaf forest",-1,0
Csa,"low and high shrub tundra",-1,0
Dsb,None,20,7185
Cfa,"cool evergreen needleleaf forest",-1,0
Dsc,"temperate deciduous broadleaf savanna",-1,0
Dwc,"tropical grassland",2,1149849
Csa,"temperate sclerophyll woodland and shrubland",31,125356
EF,"temperate evergreen needleleaf open woodland",-1,0
Dsd,"erect dwarf-shrub tundra",-1,0
Dsd,"cool mixed forest",-1,0
Cfb,"low and high shrub tundra",23,1451
Csb,None,66,16978
Dsb,"warm-temperate evergreen broadleaf and mixed forest",12,59888
EF,"tropical evergreen broadleaf forest",-1,0
None,"graminoid and forb tundra",0,105770
EF,"temperate deciduous broadleaf savanna",-1,0
Dfb,"erect dwarf-shrub tundra",5,515
Af,"prostrate dwarf-shrub tundra",-1,0
Csc,"tropical savanna",-1,0
BWk,"cool evergreen needleleaf forest",1,12498
Dwb,"temperate sclerophyll woodland and shrubland",-1,0
Csa,"warm-temperate evergreen broadleaf and mixed forest",103,753491
Cfb,"tropical savanna",54,130468
Cfa,"temperate deciduous broadleaf savanna",-1,0
Cfb,"graminoid and forb tundra",-1,0
Csc,"temperate sclerophyll woodland and shrubland",1,84
Cwc,"tropical semi-evergreen broadleaf forest",-1,0
Csb,"temperate deciduous broadleaf savanna",-1,0
Aw,"cold evergreen needleleaf forest",-1,0
Af,"cool mixed forest",74,2
BWk,"prostrate dwarf-shrub tundra",-1,0
Cwa,"cold evergreen needleleaf forest",63,6588
Dfb,"tropical deciduous broadleaf forest and woodland",-1,0
ET,"desert",0,788054
Dwa,None,83,37026
Cfb,"desert",-1,0
Cwa,"temperate sclerophyll woodland and shrubland",59,6790
Cfb,"tropical xerophytic shrubland",91,43126
Cfc,"tropical grassland",19,770
Dwb,"cold evergreen needleleaf forest",5,400316
Cfa,"prostrate dwarf-shrub tundra",-1,0
BSk,"cold deciduous forest",7,4782
Cwa,"temperate evergreen needleleaf open woodland",-1,0
Dwa,"tropical savanna",-1,0
Dfb,"tropical evergreen broadleaf forest",-1,0
Cwa,None,95,59538
Am,"tropical deciduous broadleaf forest and woodland",35,364137
BSk,"prostrate dwarf-shrub tundra",-1,0
BWh,"cold evergreen needleleaf forest",-1,0
Dsd,"tropical xerophytic shrubland",-1,0
Cwc,"temperate sclerophyll woodland and shrubland",2,9
BSh,"cold deciduous forest",-1,0
Aw,"tropical deciduous broadleaf forest and woodland",80,2310837
BSh,"tropical xerophytic shrubland",18,3019625
Dsd,"tropical deciduous broadleaf forest and woodland",-1,0
Am,"temperate deciduous broadleaf savanna",-1,0
Cwb,"cold evergreen needleleaf forest",46,8623
Cwc,"cold evergreen needleleaf forest",-1,6
Dwd,"cold evergreen needleleaf forest",-1,34
ET,"tropical semi-evergreen broadleaf forest",-1,0
Csa,"graminoid and forb tundra",117,6712
EF,None,0,91558193
Dwb,"tropical xerophytic shrubland",43,200
Cfa,"warm-temperate evergreen broadleaf and mixed forest",133,3841881
Dsc,"temperate deciduous broadleaf forest",0,5533
Cwa,"cool evergreen needleleaf forest",-1,0
Dfa,"prostrate dwarf-shrub tundra",-1,0
Cwc,"cool mixed forest",-1,0
Af,"tropical xerophytic shrubland",69,277
Aw,"graminoid and forb tundra",-1,0
BSh,"graminoid and forb tundra",-1,0
Dwd,"tropical evergreen broadleaf forest",-1,0
EF,"graminoid and forb tundra",0,247507
Dwa,"tropical evergreen broadleaf forest",-1,0
Af,"tropical deciduous broadleaf forest and woodland",34,85218
Cfc,"cool mixed forest",6,68
Aw,"tropical savanna",17,11092535
EF,"cool evergreen needleleaf forest",-1,5
Dsc,"erect dwarf-shrub tundra",0,24854
Csc,"erect dwarf-shrub tundra",-1,153
Dwd,"wet sclerophyll forest",-1,0
Dsb,"graminoid and forb tundra",-1,0
Csb,"tropical xerophytic shrubland",58,180875
Cwb,"tropical xerophytic shrubland",47,550239
None,"cool mixed forest",72,12067
Dwb,"desert",11,28557
BSk,"tropical deciduous broadleaf forest and woodland",-1,2
Dwa,"tropical grassland",113,717660
Dwa,"cool evergreen needleleaf forest",-1,0
Cwb,"prostrate dwarf-shrub tundra",-1,0
ET,"erect dwarf-shrub tundra",0,3619893
Csa,"prostrate dwarf-shrub tundra",-1,0
Cwc,"low and high shrub tundra",-1,0
BSk,"tropical semi-evergreen broadleaf forest",-1,0
ET,"low and high shrub tundra",0,6115528
Cwb,"tropical semi-evergreen broadleaf forest",6,125
Csc,"wet sclerophyll forest",0,7523
Dfc,"erect dwarf-shrub tundra",2,323892
Cfa,"temperate evergreen needleleaf open woodland",126,1876
None,"wet sclerophyll forest",4,8517
Csa,"cold evergreen needleleaf forest",423,1278
Cfc,"wet sclerophyll forest",0,125433
ET,"temperate deciduous broadleaf forest",0,8123
Dsc,"warm-temperate evergreen broadleaf and mixed forest",0,4664
Af,"tropical semi-evergreen broadleaf forest",6,246205
Dsc,"tropical evergreen broadleaf forest",-1,0
Csb,"graminoid and forb tundra",171,61
Cfa,"tropical savanna",22,1325079
Dwc,"tropical savanna",-1,0
BSh,None,26,72883
Cwb,"temperate deciduous broadleaf forest",6,53359
Cfb,"temperate sclerophyll woodland and shrubland",30,688675
Dwa,"erect dwarf-shrub tundra",-1,0
Dfd,"cool mixed forest",-1,0
Af,"tropical grassland",54,22889
Dsd,"graminoid and forb tundra",-1,0
Csc,"tropical grassland",5,2784
Dfa,"temperate deciduous broadleaf savanna",-1,0
BWk,None,0,1306721
BWh,"temperate sclerophyll woodland and shrubland",0,143077
Dwb,"tropical evergreen broadleaf forest",-1,0
Dwc,"tropical semi-evergreen broadleaf forest",-1,0
BSh,"warm-temperate evergreen broadleaf and mixed forest",44,211414
EF,"low and high shrub tundra",0,182969
Dwd,"tropical xerophytic shrubland",-1,0
BWk,"desert",12,4535945
Csc,"cold evergreen needleleaf forest",-1,3
BSk,"tropical xerophytic shrubland",28,809302
None,"prostrate dwarf-shrub tundra",0,3086
Cfa,"cold deciduous forest",-1,0
Dsb,"tropical savanna",-1,0
Am,"prostrate dwarf-shrub tundra",-1,0
Csa,"cool mixed forest",47,16
Csb,"desert",39,1248
BWk,"cold deciduous forest",1,149
Cfc,"erect dwarf-shrub tundra",9,12357
BWk,"temperate evergreen needleleaf open woodland",9,417726
Cwc,"tropical evergreen broadleaf forest",-1,0
ET,"tropical savanna",-1,1
Dwa,"temperate evergreen needleleaf open woodland",765,4
Dwb,"wet sclerophyll forest",-1,0
Cwc,"desert",-1,0
Dwd,"desert",-1,0
Dwa,"wet sclerophyll forest",-1,0
None,"cold evergreen needleleaf forest",9,19078
Cfb,"temperate deciduous broadleaf savanna",-1,0
Dsb,"temperate sclerophyll woodland and shrubland",-1,0
Dwd,None,0,5907
Dsb,"low and high shrub tundra",-1,0
BSh,"tropical grassland",20,2407438
Dwb,"cool mixed forest",16,715779
Am,"erect dwarf-shrub tundra",-1,0
None,"tropical savanna",8,8652
Dfc,"tropical xerophytic shrubland",-1,25
Af,"cold evergreen needleleaf forest",-1,0
BSk,"temperate evergreen needleleaf open woodland",17,1842397
Dwb,"prostrate dwarf-shrub tundra",-1,0
Cwa,"desert",400,92
Dfd,"temperate deciduous broadleaf forest",-1,0
Dsa,"temperate deciduous broadleaf forest",19,199694
Cfb,"temperate deciduous broadleaf forest",159,1579768
BWh,"cool evergreen needleleaf forest",-1,0
Dfb,"tropical grassland",16,1572809
BSk,"cool evergreen needleleaf forest",20,28911
BSk,"warm-temperate evergreen broadleaf and mixed forest",66,516591
Csb,"warm-temperate evergreen broadleaf and mixed forest",88,774087
ET,"tropical evergreen broadleaf forest",-1,0
Dsb,"tropical grassland",6,87983
Dsa,"cold deciduous forest",-1,0
Csc,"prostrate dwarf-shrub tundra",-1,0
BSh,"cold evergreen needleleaf forest",-1,0
Dwb,"tropical semi-evergreen broadleaf forest",-1,0
Dfa,"low and high shrub tundra",-1,0
Dwa,"graminoid and forb tundra",-1,0
Csb,"wet sclerophyll forest",0,48057
Af,"temperate deciduous broadleaf forest",-1,0
Csa,"wet sclerophyll forest",-1,0
Dfd,"erect dwarf-shrub tundra",-1,285
Cwb,"tropical savanna",23,35439
BSh,"tropical deciduous broadleaf forest and woodland",128,809658
ET,"temperate evergreen needleleaf open woodland",0,23624
Dwd,"tropical deciduous broadleaf forest and woodland",-1,0
BSh,"erect dwarf-shrub tundra",-1,0
Csb,"temperate sclerophyll woodland and shrubland",35,276571
Cfb,"wet sclerophyll forest",9,309946
Af,"tropical savanna",24,111069
Dsc,"tropical semi-evergreen broadleaf forest",-1,0
BWh,"erect dwarf-shrub tundra",-1,0
Dsb,"cool mixed forest",2,26418
Am,"tropical xerophytic shrubland",277,901
Aw,"desert",-1,0
Dfc,"temperate evergreen needleleaf open woodland",1,271605
Csa,"cold deciduous forest",-1,0
Dfb,"tropical savanna",-1,0
Af,"temperate evergreen needleleaf open woodland",5,5
None,"erect dwarf-shrub tundra",0,81842
Csb,"low and high shrub tundra",-1,0
Cwb,"temperate sclerophyll woodland and shrubland",1,1306
BSh,"temperate deciduous broadleaf savanna",-1,0
BWk,"tropical semi-evergreen broadleaf forest",-1,0
BSh,"desert",41,129446
Dsb,"prostrate dwarf-shrub tundra",-1,0
Cwb,"tropical grassland",49,539498
ET,"wet sclerophyll forest",0,339607
Dwa,"temperate deciduous broadleaf forest",255,791760
EF,"tropical grassland",0,22916
Csa,"tropical semi-evergreen broadleaf forest",38,2850
Cwb,"warm-temperate evergreen broadleaf and mixed forest",47,1268578
Am,"desert",-1,0
Dsd,"tropical evergreen broadleaf forest",-1,0
Dwd,"tropical semi-evergreen broadleaf forest",-1,0
Dsa,"tropical evergreen broadleaf forest",-1,0
Csb,"tropical deciduous broadleaf forest and woodland",329,172
Dwb,"erect dwarf-shrub tundra",-1,0
Aw,"tropical semi-evergreen broadleaf forest",30,1632795
BWh,"prostrate dwarf-shrub tundra",-1,0
Dwa,"cool mixed forest",101,95962
Dsa,"cool evergreen needleleaf forest",0,46
Cwb,"erect dwarf-shrub tundra",-1,0
Dfa,"cold evergreen needleleaf forest",-1,0
Csc,"cool mixed forest",0,94
Cwc,"graminoid and forb tundra",-1,0
Cwc,"temperate evergreen needleleaf open woodland",-1,0
Dfb,"temperate deciduous broadleaf savanna",-1,0
Aw,"erect dwarf-shrub tundra",-1,0
Dwc,"cold deciduous forest",0,1164676
BSh,"prostrate dwarf-shrub tundra",-1,0
Dfc,"cold deciduous forest",0,3260172
Dsd,"temperate sclerophyll woodland and shrubland",-1,0
Am,"cool mixed forest",17,5
Dsd,"low and high shrub tundra",-1,47
Dwc,"temperate deciduous broadleaf forest",2,158475
Dwc,"tropical deciduous broadleaf forest and woodland",-1,0
Cfa,"tropical grassland",29,320543
None,"tropical deciduous broadleaf forest and woodland",69,4488
BSk,"graminoid and forb tundra",0,11983
Csb,"temperate deciduous broadleaf forest",82,137794
Cwa,"tropical evergreen broadleaf forest",5,178
Af,"desert",-1,0
ET,"warm-temperate evergreen broadleaf and mixed forest",3,29872
Dsc,"tropical deciduous broadleaf forest and woodland",-1,0
Dfb,"cold evergreen needleleaf forest",18,2061591
Dfc,"cold evergreen needleleaf forest",2,25092148
Csc,"warm-temperate evergreen broadleaf and mixed forest",7,375
Dsa,"temperate deciduous broadleaf savanna",-1,0
Am,"tropical savanna",26,258457
BWh,"temperate deciduous broadleaf savanna",-1,0
Dfa,"desert",61,7395
Cfc,"tropical deciduous broadleaf forest and woodland",-1,0
